id,subject,description
60,,"NÃO CONSIGO LOGAR, DÁ ERRO E A PÁGINA RECARREGA SOZINHA. SEM PRESSA, QUANDO PUDEREM."
61,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve. Crítico, resolvam o quanto antes! Além disso, registro uma reclamação: o serviço não entrega o que promete."
62,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? Apenas uma sugestão, sem urgência."
63,Como exportar relatório,"Como faço para exportar o relatório mensal em PDF? Onde fica essa opção? Aguardo com prioridade, por favor. Além disso, poderiam adicionar integração com o Slack para avisos?"
64,Sugestão de recurso,"Gostaria que o sistema permitisse adicionar tags nos tickets. É só uma dúvida, pode responder com calma."
65,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso."
66,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente."
67,Exportação em Excel,"Gostaria que tivesse a opção de exportar em Excel além de PDF. Não consigo trabalhar, preciso de solução imediata."
68,Upload falhando,O envio de arquivo flaha sempre com mensagem de erro.
69,Informação sobre evento,"Vocês vão participar de algum evento este ano? É só uma dúvida, pode responder com calma."
70,Cancelar assinatura e reembolso,Quero cancelar e receber o reembolso proporcional da assinatura.
71,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito. Além disso, onde configuro para receber notificações por e-mail?"
72,Configurar notificações,Onde configuro para receber notificações por e-mail?
73,Nota fiscal,"Preciso da nota fiscal do pagamento para o financeiro da empresa. Aguardo com prioridade, por favor."
74,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo?"
75,Onde altero a senha,Gostaria de saber onde altero minha senha de acesso. Estou bloqueado por causa disso.
76,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar."
77,,COMO POSSO CONVIDAR OUTRO USUÁRIO PARA A MINHA CONTA?
78,Pedido de nova feature,"Poderia adicionar um modo escuro? Seria um recurso muito útil. Além disso, cansei dos problemas, quero cancelar minha assinatura imediatamente."
79,Informação sobre evento,"Vocês vão participar de algum evento este ano? Sem pressa, quando puderem."
80,,Como faço para exportar o relatório mensal em PDF? Onde fica essa opção?
81,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. Além disso, como faço para exportar o relatório mensal em PDF? Onde fica essa opção?"
82,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? Aguardo com prioridade, por favor."
83,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada. Aguardo com prioridade, por favor. Além disso, quero trocar o cartão de crédito cadastrado para o pagamento."
84,Novo relatório,"Poderia adicionar um relatório de produtividade por equipe? Além disso, estou decepcionado, cobrança errada e ninguém resolve."
85,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete. Estou bloqueado por causa disso.
86,Crash no relatório,Ao gerar o relatório o sistema quebra e trava a sessão.
87,Login com falha,"Não consgio logar, dá erro e a página recarrega sozinha."
88,Erro na fatura,"O valor da fatura está diferente do combinado no plano. Não consigo trabalhar, preciso de solução imediata."
89,,"TEMOS INTERESSE EM UMA PARCERIA COMERCIAL, COM QUEM FALO? APENAS UMA SUGESTÃO, SEM URGÊNCIA."
90,Sugestão de recurso,Gostaria que o sistema permitisse adicionar tags nos tickets.
91,Produto piorou,"Depois da atualização ficou péssimo, estou insatisfeito."
92,Como convidar usuário,"Como posso convidar outro usuário para a minha conta? É importante, preciso resolver rápido."
93,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo? Apenas uma sugestão, sem urgência."
94,Descaso com o cliente,"Faz dias que aguardo retorno e ninguém responde, um descaso."
95,,"ESTOU DECEPCIONADO, COBRANÇA ERRADA E NINGUÉM RESOLVE. É SÓ UMA DÚVIDA, PODE RESPONDER COM CALMA."
96,Não carrega os dados,"A listagem nao carrega, dá erro 500 e some tudo. Sem pressa, quando puderem. Alem disso, estou decepcionado, cobranca errada e ninguem resolve."
97,Upload falhando,O envio de arquivo falha sempre com mensagem de erro.
98,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. Apenas uma sugestão, sem urgência."
99,Como exportar relatório,Como faoc para exportar o relatório mensal em PDF? Onde fica essa opcao?
100,Atualização de cadastro,Preciso atualizar o endereço e o telefone da minha conta.
101,Tela em branco,"Depois do último update a tela fica em branco, parece um bug."
102,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. É só uma dúvida, pode responder com calma."
103,Solicito aumento de limite,Solicito o aumento do limite de usuários da minha conta.
104,Exportação em Excel,Gostaria que tivesse a opção de exportar em Excel além de PDF.
105,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. Sem pressa, quando puderem."
106,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Crítico, resolvam o quanto antes!"
107,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada. É importante, preciso resolver rápido. Além disso, o envio de arquivo falha sempre com mensagem de erro."
108,Sugestão de recurso,"Gostaria que o sistema permitisse adicionar tags nos tickets. É importante, preciso resolver rápido."
109,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar. Aguardo com prioridade, por favor."
110,Reclamação formal,"Registro uma reclamação: o serviço não entrega o que promete. É importante, preciso resolver rápido."
111,Configurar notificações,"Onde configuro para receber notificações por e-mail? Crítico, resolvam o quanto antes!"
112,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. Sem pressa, quando puderem."
113,Personalizar dashboard,Solicito a possibilidade de personalizar os cards do dashboard.
114,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. É importante, preciso resolver rápido."
115,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguem resolve nada. É só uma dúvida, pod eresponder com calma."
116,,O envio de arquivo falha sempre com mensagem de erro.
117,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar. Aguardo com prioridade, por favor."
118,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. É só uma dúvida, pode responder com calma."
119,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. Além disso, gostaria que tivesse a opção de exportar em Excel além de PDF."
120,API pública,Gostaria de acesso a uma API para integrar com nosso sistema.
121,Dúvida sobre integração,Como funciona a integração com o meu sistema atual? Estou bloqueado por causa disso.
122,Upload falhando,O envio de arqiuvo falha sempre com mensagem de erro.
123,Sugestão de recurso,"Gostaria que o sistema permitisse adicionar tags nos tickets. Aguardo com prioridade, por favor."
124,Crash no relatório,"Ao gerar o relatório o sistema quebra e trava a sessão. Aguardo com prioridade, por favor."
125,Personalizar dashboard,Solicito a possibilidade de personalizar os cards do dashboard. Estou bloqueado por causa disso.
126,Reembolso pendente,Pedi o reembolso semana passada e ainda não caiu no cartoã.
127,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. Sem pressa, quando puderem."
128,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. Crítico, resolvam o quanto antes!"
129,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Aguardo com prioridade, por favor."
130,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada  eninguém resolve. Crítico, resolvam o quanto antes!"
131,Login com falha,"Nao consigo olgar, dá erro e a página recarrega sozinha."
132,Alterar forma de pagamento,Quero trocar o cartão de crédito cadastrado para o pagamento.
133,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? Sem pressa, quando puderem."
134,Sugestão de recurso,"Gostaria que o sistema permitisse adicionar tags nos tickets. Não consigo trabalhar, preciso de solução imediata."
135,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. Não consigo trabalhar, preciso de solução imediata."
136,Atualização de cadastro,Preciso atualizar o endereço e o telefone da minha conta.
137,Alterar forma de pagamento,"Quero trocar o cartão de crédito cadastrado para o pagamento. Está tudo parado em produção, urgente!"
138,,FUI COBRADO DUAS VEZES NA FATURA DESTE MÊS NO CARTÃO. SOLICITO O REEMBOLSO. ESTOU BLOQUEADO POR CAUSA DISSO.
139,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Aguardo com prioridade, por favor."
140,Dúvida sobre integração,"Como funciona a integração com o meu sistema atual? Aguardo com prioridade, por favor. Além disso, preciso transferir a titularidade da conta para outra pessoa."
141,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo."
142,Informação sobre evento,Vocês vão participar de algum evento este ano?
143,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve. É só uma dúvida, pode responder com calma."
144,Login com falha,"Nao consigo logar, dá erro e a página recarrega oszinha. Crítico, resolvam o quanto antes!"
145,Solicito aumento de limite,Solicito o aumento do limite de usuários da minha conta.
146,Configurar notificações,"Onde configuro para receber notificacões por e-mail? Está tudo parado em producao, urgente! Alem disso, gostaria de acesso a uma API para integrar com nosso sistema."
147,,QUERO CANCELAR E RECEBER O REEMBOLSO PROPORCIONAL DA ASSINATURA.
148,Descaso com o cliente,"Faz dias que aguarod retorno e ninguem responde, um descaso. Sem pressa, quando puderem."
149,Login com falha,"Nao consigo logar, dá erro e a página recarrega sozinha. Estou bloqueado por cauas disso."
150,Erro na fatura,"O valor da fatura está diferente do combinado no plano. Sem pressa, quando puderem."
151,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso?"
152,Quero cancelar,"Cansei dos problemas, quero cancelar minha assinatura imediatamente. Aguardo com prioridade, por favor."
153,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo?"
154,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete. Estou bloqueado por causa disso.
155,Tela em branco,"Depois do último update a tela fica em branco, parece um bug."
156,Erro na fatura,"O valor da fatura está diferente do combinado no plano. É só uma dúvida, pode responder com calma."
157,Solicito aumento de limite,Solicito o aumento do limite de usuários da minha conta.
158,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. Crítico, resolvam o quanto antes!"
159,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. É só uma dúvida, pode responder com calma."
160,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Está tudo parado em produção, urgente!"
161,Sugestão de recurso,"Gostaria que o sistema permitisse adicionar tags nos tickets. Apenas uma sugestão, sem urgência."
162,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. Está tudo parado em produção, urgente!"
163,Erro na fatura,"O valor da fatura está diferente do combinado no plano. É só uma dúvida, pode responder com calma."
164,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. É importante, preciso resolver rápido."
165,Atualização de cadastro,"Preciso atualizar o endereço e o telefone da minha conta. Crítico, resolvam o quanto antes! Além disso, quero cancelar e receber o reembolso proporcional da assinatura."
166,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. É importante, preciso resolver rápido."
167,Configurar notificações,"Onde configuro para receber notificações por e-mail? Crítico, resolvam o quanto antes! Além disso, o boleto da assinatura não chegou, preciso pagar o pagamento."
168,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo. Apenas uma sugestão, sem urgência. Além disso, perdi dados por causa de um erro de vocês, inadmissível."
169,Recuperar acesso,"Esqueci meu login, como faço para recuperar o acesso? Além disso, vocês vão participar de algum evento este ano?"
170,Exportação em Excel,"Gostaria que tivesse a opção de exportar em Excel além de PDF. É só uma dúvida, pode responder com calma."
171,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. Apenas uma sugestão, sem urgência. Além disso, o valor da fatura está diferente do combinado no plano."
172,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? Apenas uma sugestão, sem urgência."
173,Onde altero a senha,Gostaria de saber onde altero minha senha de acesso. Estou bloqueado por causa disso.
174,Integração com Slack,Poderiam adicionar integração com o Slack para avisos?
175,Como convidar usuário,"Como posso convidar outro usuário para a minha conta? É importante, preciso resolver rápido."
176,Cobrança após cancelamento,"Cancelei mês passado mas continuo sendo cobrado na fatura. Aguardo com prioridade, por favor."
177,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante. É só uma dúvida, pode responder com calma."
178,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada. Sem pressa, quando puderem."
179,Nota fiscal,"Preciso da nota fiscal do pagamento para o financeiro da empresa. É só uma dúvida, pode responder com calma."
180,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Sem pressa, quando puderem."
181,Reembolso pendente,Pedi o reembolso semana passada e ainda não caiu no cartão.
182,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. É só uma dúvida, pode responder com calma."
183,Como exportar relatório,Como faco para exportar o relatório mensal em PDF? Onde fica essa opcao?
184,Exportação em Excel,"Gostaria que tivesse a opção de exportar em Excel além de PDF. É importante, preciso resolver rápido."
185,Insatisfeito com cobrança,"Estou decepcionado, cobrança errada e ninguém resolve. Além disso, como posso convidar outro usuário para a minha conta?"
186,Cancelar assinatura e reembolso,Quero cancelar e receber o reembolso proporcional da assinatura.
187,Erro na fatura,O valor da fatura está diferente do combinado no plano.
188,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. Aguardo com prioridade, por favor."
189,Contato do comercial,Poderiam me passar o contato da equipe comercial?
190,Produto piorou,"Depois da atualizacao ficou pessimo, estou insatisfeito. Alem disso, como posso convidar outro usuário paraa  minha conta?"
191,Novo relatório,"Poderia adicionar um relatório de produtividade por equipe? Crítico, resolvam o quanto antes!"
192,Boleto não chegou,"O boleto da assinatura não chegou, preciso pagar o pagamento. Apenas uma sugestão, sem urgência."
193,Como filtrar dados,"Tem como filtrar os registros por data? Onde encontro isso? É importante, preciso resolver rápido."
194,Upload falhando,O envio de arquivo falha sempre com mensagem de erro.
195,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível. Estou bloqueado por causa disso."
196,Configurar notificações,"Onde configuro para receber notificações por e-mail? Aguardo com prioridade, por favor. Além disso, solicito a possibilidade de personalizar os cards do dashboard."
197,,"GOSTARIA QUE O SISTEMA PERMITISSE ADICIONAR TAGS NOS TICKETS. NÃO CONSIGO TRABALHAR, PRECISO DE SOLUÇÃO IMEDIATA."
198,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Não consigo trabalhar, preciso de solução imediata."
199,,"O botão de exportar não funciona, nada acontece ao clicar. Estou bloqueado por causa disso."
200,Tela em branco,"Depois do último update a tela fica em branco, parece um bug. Crítico, resolvam o quanto antes!"
201,,GOSTARIA DE SABER ONDE ALTERO MINHA SENHA DE ACESSO.
202,,"A LISTAGEM NÃO CARREGA, DÁ ERRO 500 E SOME TUDO. É SÓ UMA DÚVIDA, PODE RESPONDER COM CALMA."
203,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível."
204,Crash no relatório,"Ao gerar o relatório o sistema quebra e trava a sessão. Além disso, qual a diferença entre os planos? Posso trocar quando quiser?"
205,Crash no relatório,Ao gerar o relatório o sistema quebra e trava a sessao.
206,Sistema sempre lento,"O sistema está horrível de lento, muito decepcionado. Além disso, não consigo logar, dá erro e a página recarrega sozinha."
207,,"Pedi o reembolso semana passada e ainda não caiu no cartão. Aguardo com prioridade, por favor."
208,Alterar forma de pagamento,Quero trocar o cartão de crédito cadastrado para o pagamento.
209,Integração com Slack,"Poderiam adicionar integração com o Slack para avisos? Aguardo com prioridade, por favor."
210,Como exportar relatório,Como facop ara exportar o relatório mensal em PDF? Onde fica essa opcao?
211,Cobrança indevida,Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso.
212,Dúvida sobre plano,Qual a diferença entre os planos? Posso trocar quando quiser?
213,,"APARECE UMA FALHA QUANDO CLICO EM SALVAR E O BOTÃO NÃO FUNCIONA. ESTÁ TUDO PARADO EM PRODUÇÃO, URGENTE!"
214,,"Gostaria de acesso a uma API para integrar com nosso sistema. É só uma dúvida, pode responder com calma."
215,Alterar forma de pagamento,"Quero trocar o cartão de crédito cadastrado para o pagamento. Está tudo parado em produção, urgente!"
216,Onde altero a senha,Gostaria de saber onde altero minha senha de acesso. Estou bloqueado por causa disso.
217,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. Além disso, estou muito insatisfeito com o suporte, ninguém resolve nada."
218,Solicito aumento de limite,"Solicito o aumento do limite de usuários da minha conta. Crítico, resolvam o quanto antes! Além disso, depois do último update a tela fica em branco, parece um bug."
219,Configurar notificações,"Onde configuro para receber notificações por e-mail? É importante, preciso resolver rápido."
220,,PODERIA ADICIONAR UM MODO ESCURO? SERIA UM RECURSO MUITO ÚTIL.
221,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Aguardo com prioridade, por favor."
222,Cobrança indevida,"Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. Apenas uma sugestão, sem urgência. Além disso, onde configuro para receber notificações por e-mail?"
223,,"O SISTEMA ESTÁ HORRÍVEL DE LENTO, MUITO DECEPCIONADO. AGUARDO COM PRIORIDADE, POR FAVOR."
224,App trava ao abrir,"O aplicativo trava e fecha sozinho toda vez que tento abrir. É só uma dúvida, pode responde rcom calma."
225,API pública,"Gostaria de acesso a uma API para integrar com nosso sistema. É importante, preciso resolver rápido."
226,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Sem pressa, quando puderem."
227,,O APLICATIVO TRAVA E FECHA SOZINHO TODA VEZ QUE TENTO ABRIR.
228,Configurar notificações,"Onde configuro para receber notificações por e-mail? Aguardo com prioridade, por favor."
229,Configurar notificações,Onde configuro para receber notificações por e-mail?
230,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante."
231,Login com falha,"Não consigo logar, dá erro e a página recarrega sozinha. Crítico, resolvam o quanto antes!"
232,Reclamação formal,"Registro uma reclamação: o serviço não entrega o que promete. Crítico, resolvam o quanto antes!"
233,Como convidar usuário,"Como posso convidar outro usuário para a minha conta? Sem pressa, quando puderem."
234,,"Só queria deixar um elogio, o produto tem me ajudado bastante."
235,Perdi dados importantes,"Perdi dados por causa de um erro de vocês, inadmissível."
236,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. Apenas uma sugestão, sem urgência."
237,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante. Estou bloqueado por causa disso."
238,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete. Estou bloqueado por causa disso.
239,Erro ao salvar,"Aparece uma falha quando clico em salvar e o botão não funciona. É importante, preciso resolver rápido."
240,Crash no relatório,Ao gerar o relatório o sistema quebra e trava a sessão.
241,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Crítico, resolvam o quanto antes!"
242,Erro na fatura,O valor da fatura está diferente do combinado no plano.
243,,"QUERO TROCAR O CARTÃO DE CRÉDITO CADASTRADO PARA O PAGAMENTO. É IMPORTANTE, PRECISO RESOLVER RÁPIDO."
244,Erro na fatura,"O valor da fatura está diferente do combinado no plano. Está tudo parado em producao, urgente!"
245,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante. Estou bloqueado por causa disso."
246,,PODERIAM ADICIONAR INTEGRAÇÃO COM O SLACK PARA AVISOS?
247,,O envio de arquivo falha sempre com mensagem de erro.
248,,"O SISTEMA ESTÁ HORRÍVEL DE LENTO, MUITO DECEPCIONADO. NÃO CONSIGO TRABALHAR, PRECISO DE SOLUÇÃO IMEDIATA."
249,Cobrança após cancelamento,"Cancelei mês passado mas continuo snedo cobrado na fatura. É só uma dúvida, pode responder com calma."
250,Reembolso pendente,"Pedi o reembolso semana passada e ainda não caiu no cartão. Crítico, resolvam o quanto antes!"
251,Nota fiscal,"Preciso da nota fiscal do pagamento para o financeiro da empresa. Não consigo trabalhar, preciso de solução imediata."
252,Exportação em Excel,Gostaria que tivesse a opção de exportar em Excel além de PDF.
253,Mudança de titularidade,"Preciso transferir a titularidade da conta para outra pessoa. Aguardo com prioridade, por favor."
254,,"QUERO CANCELAR E RECEBER O REEMBOLSO PROPORCIONAL DA ASSINATURA. É IMPORTANTE, PRECISO RESOLVER RÁPIDO."
255,Botão quebrado,"O botão de exportar não funciona, nada acontece ao clicar. Não consigo trabalhar, preciso de solução imediata."
256,Feedback geral,"Só queria deixar um elogio, o produto tem me ajudado bastante. Crítico, resolvam o quanto antes!"
257,Péssimo atendimento,"Estou muito insatisfeito com o suporte, ninguém resolve nada."
258,Informação sobre evento,"Vocês vão participar de algum evento este ano? É importante, preciso resolver rápido. Além disso, registro uma reclamação: o serviço não entrega o que promete."
259,Sugestão de recurso,Gostaria que o sistema permitisse adicionar tags nos tickets.
260,Não carrega os dados,"A listagem não carrega, dá erro 500 e some tudo."
261,,"PEDI O REEMBOLSO SEMANA PASSADA E AINDA NÃO CAIU NO CARTÃO. SEM PRESSA, QUANDO PUDEREM."
262,Upload falhando,"O envio de arquivo falha sempre com mensagem de erro. Crítico, resolvam o quanto antes!"
263,Reclamação formal,"Registro uma reclamação: o serviço não entrega o que promete. Está tudo parado em produção, urgente!"
264,Reclamação formal,Registro uma reclamação: o serviço não entrega o que promete.
265,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Estou bloqueado por causa disso. Além disso, esqueci meu login, como faço para recuperar o acesso?"
266,Mudança de titularidade,"Preciso transferir a titularidade da conta para outra pessoa. Aguardo com prioridade, por favor."
267,Parceria comercial,"Temos interesse em uma parceria comercial, com quem falo? Aguardo com prioridade, por favor."
268,,"PODERIAM ADICIONAR INTEGRAÇÃO COM O SLACK PARA AVISOS? CRÍTICO, RESOLVAM O QUANTO ANTES!"
269,Cobrança indevida,Fui cobrado duas vezes na fatura deste mês no cartão. Solicito o reembolso. Estou bloqueado por causa disso.
270,Onde altero a senha,"Gostaria de saber onde altero minha senha de acesso. Além disso, preciso atualizar o endereço e o telefone da minah conta."
271,Mudança de titularidade,Preciso transferir a titularidade da conta para outra pessoa.
